local;uf;filial;deposito;cultura;lote;cultivar;Tratamento;cat;pen;um;qtd_sistema;peso_etiqueta
UBS I;GO;101.0;10.0;SOJA;11026714P1240;NEO790 IPRO;SEM TRATAMENTO;S1;P1;BG;30;705.0
UBS I;GO;101.0;10.0;SOJA;11026714P1242;NEO790 IPRO;SEM TRATAMENTO;S1;P1;BG;30;705.0
UBS I;GO;101.0;10.0;SOJA;11026714P1245;NEO790 IPRO;SEM TRATAMENTO;S1;P1;BG;30;711.0
UBS I;GO;101.0;10.0;SOJA;11026714P1248;NEO790 IPRO;SEM TRATAMENTO;S1;P1;BG;30;707.0
UBS I;GO;101.0;10.0;SOJA;11026714P1251;NEO790 IPRO;SEM TRATAMENTO;S1;P1;BG;30;701.0
UBS I;GO;101.0;10.0;SOJA;11026714P1253;NEO790 IPRO;SEM TRATAMENTO;S1;P1;BG;30;700.0
UBS I;GO;101.0;10.0;SOJA;11026714P1256;NEO790 IPRO;SEM TRATAMENTO;S1;P1;BG;30;708.0
UBS I;GO;101.0;10.0;SOJA;11026714P1259;NEO790 IPRO;SEM TRATAMENTO;S1;P1;BG;30;702.0
UBS I;GO;101.0;10.0;SOJA;11026714P1261;NEO790 IPRO;SEM TRATAMENTO;S1;P1;BG;30;692.0
UBS I;GO;101.0;10.0;SOJA;11026714P1263;NEO790 IPRO;SEM TRATAMENTO;S1;P1;BG;30;705.0
UBS I;GO;101.0;10.0;SOJA;11026714P1266;NEO790 IPRO;SEM TRATAMENTO;S1;P1;BG;29;710.0
UBS I;GO;101.0;10.0;SOJA;11026714P1301;NEO790 IPRO;SEM TRATAMENTO;S1;P1;BG;30;702.0
UBS I;GO;101.0;10.0;SOJA;11026714P1304;NEO790 IPRO;SEM TRATAMENTO;S1;P1;BG;8;715.0
UBS I;GO;101.0;10.0;SOJA;11026714P2186;NEO790 IPRO;SEM TRATAMENTO;S1;P2;BG;27;954.0
UBS I;GO;101.0;10.0;SOJA;11026714P2189;NEO790 IPRO;SEM TRATAMENTO;S1;P2;BG;27;972.0
UBS I;GO;101.0;10.0;SOJA;11026714P2192;NEO790 IPRO;SEM TRATAMENTO;S1;P2;BG;6;941.0
UBS I;GO;101.0;10.0;SOJA;11026714P2193;NEO790 IPRO;SEM TRATAMENTO;S1;P2;BG;30;895.0
UBS I;GO;101.0;10.0;SOJA;11026714P2195;NEO790 IPRO;SEM TRATAMENTO;S1;P2;BG;30;879.0
UBS I;GO;101.0;10.0;SOJA;11026714P2197;NEO790 IPRO;SEM TRATAMENTO;S1;P2;BG;30;882.0
UBS I;GO;101.0;10.0;SOJA;11026714P2198;NEO790 IPRO;SEM TRATAMENTO;S1;P2;BG;27;921.0
UBS I;GO;101.0;10.0;SOJA;11026714P2199;NEO790 IPRO;SEM TRATAMENTO;S1;P2;BG;30;898.0
UBS I;GO;101.0;10.0;SOJA;11026714P2201;NEO790 IPRO;SEM TRATAMENTO;S1;P2;BG;30;904.0
UBS I;GO;101.0;10.0;SOJA;11026714P2202;NEO790 IPRO;SEM TRATAMENTO;S1;P2;BG;30;909.0
UBS I;GO;101.0;10.0;SOJA;11026714P2237;NEO790 IPRO;SEM TRATAMENTO;S1;P2;BG;30;900.0
UBS I;GO;101.0;10.0;SOJA;11026714P2239;NEO790 IPRO;SEM TRATAMENTO;S1;P2;BG;30;898.0
UBS I;GO;101.0;10.0;SOJA;11026714P2241;NEO790 IPRO;SEM TRATAMENTO;S1;P2;BG;27;927.0
UBS I;GO;101.0;10.0;SOJA;11026714P2243;NEO790 IPRO;SEM TRATAMENTO;S1;P2;BG;30;904.0
UBS I;GO;101.0;10.0;SOJA;11026714P2244;NEO790 IPRO;SEM TRATAMENTO;S1;P2;BG;27;910.0
UBS I;GO;101.0;10.0;SOJA;11026714P2246;NEO790 IPRO;SEM TRATAMENTO;S1;P2;BG;30;902.0
UBS I;GO;101.0;10.0;SOJA;11026714P2247;NEO790 IPRO;SEM TRATAMENTO;S1;P2;BG;30;899.0
UBS I;GO;101.0;10.0;SOJA;11026714P2249;NEO790 IPRO;SEM TRATAMENTO;S1;P2;BG;27;917.0
UBS I;GO;101.0;10.0;SOJA;11026714P2250;NEO790 IPRO;SEM TRATAMENTO;S1;P2;BG;30;909.0
UBS I;GO;101.0;10.0;SOJA;11026714P2252;NEO790 IPRO;SEM TRATAMENTO;S1;P2;BG;30;887.0
UBS I;GO;101.0;10.0;SOJA;11026714P2254;NEO790 IPRO;SEM TRATAMENTO;S1;P2;BG;30;904.0
UBS I;GO;101.0;10.0;SOJA;11026714P2255;NEO790 IPRO;SEM TRATAMENTO;S1;P2;BG;27;920.0
UBS I;GO;101.0;10.0;SOJA;11026714P2257;NEO790 IPRO;SEM TRATAMENTO;S1;P2;BG;30;894.0
UBS I;GO;101.0;10.0;SOJA;11026714P2258;NEO790 IPRO;SEM TRATAMENTO;S1;P2;BG;30;903.0
UBS I;GO;101.0;10.0;SOJA;11026714P2260;NEO790 IPRO;SEM TRATAMENTO;S1;P2;BG;27;918.0
UBS I;GO;101.0;10.0;SOJA;11026714P2262;NEO790 IPRO;SEM TRATAMENTO;S1;P2;BG;30;884.0
UBS I;GO;101.0;10.0;SOJA;11026714P2264;NEO790 IPRO;SEM TRATAMENTO;S1;P2;BG;30;901.0
UBS I;GO;101.0;10.0;SOJA;11026714P2265;NEO790 IPRO;SEM TRATAMENTO;S1;P2;BG;30;896.0
UBS I;GO;101.0;10.0;SOJA;11026714P2267;NEO790 IPRO;SEM TRATAMENTO;S1;P2;BG;24;925.0
UBS I;GO;101.0;10.0;SOJA;11026714P2300;NEO790 IPRO;SEM TRATAMENTO;S1;P2;BG;30;906.0
UBS I;GO;101.0;10.0;SOJA;11026714P2302;NEO790 IPRO;SEM TRATAMENTO;S1;P2;BG;27;936.0
UBS I;GO;101.0;10.0;SOJA;11026714P2303;NEO790 IPRO;SEM TRATAMENTO;S1;P2;BG;14;920.0
UBS I;GO;101.0;10.0;SOJA;11026715P1061;NEO761 I2X;SEM TRATAMENTO;S2;P1;BG;6;814.0
UBS I;GO;101.0;10.0;SOJA;11026715P1063;NEO761 I2X;SEM TRATAMENTO;S2;P1;BG;30;824.0
UBS I;GO;101.0;10.0;SOJA;11026715P1067;NEO761 I2X;SEM TRATAMENTO;S2;P1;BG;30;810.0
UBS I;GO;101.0;10.0;SOJA;11026715P1069;NEO761 I2X;SEM TRATAMENTO;S2;P1;BG;30;819.0
UBS I;GO;101.0;10.0;SOJA;11026715P1073;NEO761 I2X;SEM TRATAMENTO;S2;P1;BG;30;823.0
UBS I;GO;101.0;10.0;SOJA;11026715P1076;NEO761 I2X;SEM TRATAMENTO;S2;P1;BG;30;804.0
UBS I;GO;101.0;10.0;SOJA;11026715P1079;NEO761 I2X;SEM TRATAMENTO;S2;P1;BG;30;814.0
UBS I;GO;101.0;10.0;SOJA;11026715P1083;NEO761 I2X;SEM TRATAMENTO;S2;P1;BG;30;793.0
UBS I;GO;101.0;10.0;SOJA;11026715P1087;NEO761 I2X;SEM TRATAMENTO;C1;P1;BG;30;825.0
UBS I;GO;101.0;10.0;SOJA;11026715P1090;NEO761 I2X;SEM TRATAMENTO;C1;P1;BG;12;804.0
UBS I;GO;101.0;10.0;SOJA;11026715P1153;NEO761 I2X;SEM TRATAMENTO;C1;P1;BG;30;828.0
UBS I;GO;101.0;10.0;SOJA;11026715P1156;NEO761 I2X;SEM TRATAMENTO;S2;P1;BG;30;804.0
UBS I;GO;101.0;10.0;SOJA;11026715P1161;NEO761 I2X;SEM TRATAMENTO;S2;P1;BG;30;823.0
UBS I;GO;101.0;10.0;SOJA;11026715P1167;NEO761 I2X;SEM TRATAMENTO;S2;P1;BG;20;817.0
UBS I;GO;101.0;10.0;SOJA;11026715P2060;NEO761 I2X;SEM TRATAMENTO;S2;P2;BG;24;1033.0
UBS I;GO;101.0;10.0;SOJA;11026715P2062;NEO761 I2X;SEM TRATAMENTO;S2;P2;BG;24;1014.0
UBS I;GO;101.0;10.0;SOJA;11026715P2064;NEO761 I2X;SEM TRATAMENTO;S2;P2;BG;24;1015.0
UBS I;GO;101.0;10.0;SOJA;11026715P2065;NEO761 I2X;SEM TRATAMENTO;S2;P2;BG;27;1000.0
UBS I;GO;101.0;10.0;SOJA;11026715P2066;NEO761 I2X;SEM TRATAMENTO;S2;P2;BG;27;992.0
UBS I;GO;101.0;10.0;SOJA;11026715P2068;NEO761 I2X;SEM TRATAMENTO;S2;P2;BG;24;1018.0
UBS I;GO;101.0;10.0;SOJA;11026715P2070;NEO761 I2X;SEM TRATAMENTO;S2;P2;BG;24;1016.0
UBS I;GO;101.0;10.0;SOJA;11026715P2071;NEO761 I2X;SEM TRATAMENTO;S2;P2;BG;27;1002.0
UBS I;GO;101.0;10.0;SOJA;11026715P2072;NEO761 I2X;SEM TRATAMENTO;S2;P2;BG;24;1028.0
UBS I;GO;101.0;10.0;SOJA;11026715P2074;NEO761 I2X;SEM TRATAMENTO;S2;P2;BG;27;998.0
UBS I;GO;101.0;10.0;SOJA;11026715P2075;NEO761 I2X;SEM TRATAMENTO;S2;P2;BG;27;993.0
UBS I;GO;101.0;10.0;SOJA;11026715P2077;NEO761 I2X;SEM TRATAMENTO;S2;P2;BG;27;999.0
UBS I;GO;101.0;10.0;SOJA;11026715P2078;NEO761 I2X;SEM TRATAMENTO;S2;P2;BG;24;1023.0
UBS I;GO;101.0;10.0;SOJA;11026715P2080;NEO761 I2X;SEM TRATAMENTO;S2;P2;BG;24;1021.0
UBS I;GO;101.0;10.0;SOJA;11026715P2081;NEO761 I2X;SEM TRATAMENTO;S2;P2;BG;27;977.0
UBS I;GO;101.0;10.0;SOJA;11026715P2082;NEO761 I2X;SEM TRATAMENTO;S2;P2;BG;27;981.0
UBS I;GO;101.0;10.0;SOJA;11026715P2084;NEO761 I2X;SEM TRATAMENTO;S2;P2;BG;27;996.0
UBS I;GO;101.0;10.0;SOJA;11026715P2085;NEO761 I2X;SEM TRATAMENTO;S2;P2;BG;27;995.0
UBS I;GO;101.0;10.0;SOJA;11026715P2086;NEO761 I2X;SEM TRATAMENTO;C1;P2;BG;24;1037.0
UBS I;GO;101.0;10.0;SOJA;11026715P2088;NEO761 I2X;SEM TRATAMENTO;C1;P2;BG;24;1024.0
UBS I;GO;101.0;10.0;SOJA;11026715P2089;NEO761 I2X;SEM TRATAMENTO;C1;P2;BG;24;1009.0
UBS I;GO;101.0;10.0;SOJA;11026715P2091;NEO761 I2X;SEM TRATAMENTO;C1;P2;BG;12;1006.0
UBS I;GO;101.0;10.0;SOJA;11026715P2151;NEO761 I2X;SEM TRATAMENTO;C1;P2;BG;24;1045.0
UBS I;GO;101.0;10.0;SOJA;11026715P2152;NEO761 I2X;SEM TRATAMENTO;C1;P2;BG;24;1075.0
UBS I;GO;101.0;10.0;SOJA;11026715P2154;NEO761 I2X;SEM TRATAMENTO;S2;P2;BG;6;1061.0
UBS I;GO;101.0;10.0;SOJA;11026715P2155;NEO761 I2X;SEM TRATAMENTO;S2;P2;BG;27;995.0
UBS I;GO;101.0;10.0;SOJA;11026715P2157;NEO761 I2X;SEM TRATAMENTO;S2;P2;BG;24;1049.0
UBS I;GO;101.0;10.0;SOJA;11026715P2158;NEO761 I2X;SEM TRATAMENTO;S2;P2;BG;24;1050.0
UBS I;GO;101.0;10.0;SOJA;11026715P2159;NEO761 I2X;SEM TRATAMENTO;S2;P2;BG;24;1062.0
UBS I;GO;101.0;10.0;SOJA;11026715P2160;NEO761 I2X;SEM TRATAMENTO;S2;P2;BG;24;1032.0
UBS I;GO;101.0;10.0;SOJA;11026715P2162;NEO761 I2X;SEM TRATAMENTO;S2;P2;BG;24;1048.0
UBS I;GO;101.0;10.0;SOJA;11026715P2163;NEO761 I2X;SEM TRATAMENTO;S2;P2;BG;24;1064.0
UBS I;GO;101.0;10.0;SOJA;11026715P2164;NEO761 I2X;SEM TRATAMENTO;S2;P2;BG;24;1078.0
UBS I;GO;101.0;10.0;SOJA;11026715P2165;NEO761 I2X;SEM TRATAMENTO;S2;P2;BG;24;1073.0
